2d97fefd,what is PAYE,Income Tax Act,35 – Deduction of tax from certain income,"persons (except a commission or fee paid or credited to another insurance company); (e) a pension or a lump sum commuted or withdrawn from a registered pension fund or a lump sum out of a registered provident fund in excess of the tax exempt amounts specified in section 8(4) and (5), or any amount paid out of a registered individual retirement fund, or a benefit paid out of the National Social Security Fund in excess of the tax exempt amount specified in section 8(5); (ee) surplus funds withdraw",0.5681,-5.434032917022705,1408.08,1922.07,1792.93,5630.69,Qwen/Qwen3-8B-Instruct,hf
40029147,What is PAYE,Income Tax Act,35 – Deduction of tax from certain income,"persons (except a commission or fee paid or credited to another insurance company); (e) a pension or a lump sum commuted or withdrawn from a registered pension fund or a lump sum out of a registered provident fund in excess of the tax exempt amounts specified in section 8(4) and (5), or any amount paid out of a registered individual retirement fund, or a benefit paid out of the National Social Security Fund in excess of the tax exempt amount specified in section 8(5); (ee) surplus funds withdraw",0.5681,-5.434032917022705,1036.23,1358.88,959.87,3369.7,Qwen/Qwen3-8B-Instruct,hf
4b9687d0,What is PAYE,Income Tax Act,35 – Deduction of tax from certain income,"persons (except a commission or fee paid or credited to another insurance company); (e) a pension or a lump sum commuted or withdrawn from a registered pension fund or a lump sum out of a registered provident fund in excess of the tax exempt amounts specified in section 8(4) and (5), or any amount paid out of a registered individual retirement fund, or a benefit paid out of the National Social Security Fund in excess of the tax exempt amount specified in section 8(5); (ee) surplus funds withdraw",0.5681,-5.434032917022705,288.19,538.64,827.7,2040.36,Qwen/Qwen3-8B-Instruct,hf
3ee4d0c1,What happens when a tenant refuses to vacate despite eviction notice?,Distress for Rent Act,14 – Tenant holding premises after time notified to pay double rent,"If a tenant gives notice to his landlord of his intention to quit the premises held by him, at a time mentioned in the notice, and does not accordingly deliver up the possession thereof at the time specified in the notice, then the tenant or his executors or administrators shall from thenceforward pay to the landlord double the rent or sum which he should otherwise have paid, to be levied, sued for and recovered at the same times, and in the same manner, as the single rent or sum could be levied",0.703,-2.112579822540283,1110.14,1690.96,1266.94,5575.75,Qwen/Qwen2.5-7B-Instruct,hf
f2d7041f,what is PAYE,Income Tax Act,35 – Deduction of tax from certain income,"persons (except a commission or fee paid or credited to another insurance company); (e) a pension or a lump sum commuted or withdrawn from a registered pension fund or a lump sum out of a registered provident fund in excess of the tax exempt amounts specified in section 8(4) and (5), or any amount paid out of a registered individual retirement fund, or a benefit paid out of the National Social Security Fund in excess of the tax exempt amount specified in section 8(5); (ee) surplus funds withdraw",0.5681,-5.434032917022705,1256.16,1524.39,2251.25,5041.01,Qwen2.5-7B-Instruct,hf
ed568fb2,what is PAYE,Income Tax Act,35 – Deduction of tax from certain income,"persons (except a commission or fee paid or credited to another insurance company); (e) a pension or a lump sum commuted or withdrawn from a registered pension fund or a lump sum out of a registered provident fund in excess of the tax exempt amounts specified in section 8(4) and (5), or any amount paid out of a registered individual retirement fund, or a benefit paid out of the National Social Security Fund in excess of the tax exempt amount specified in section 8(5); (ee) surplus funds withdraw",0.5681,-5.434032917022705,1010.56,1496.42,1012.62,4792.6,Qwen2.5-7B-Instruct,hf
902de276,How can someone be dismissed lawfully?,Employment Act,44 – Summary dismissal,"such matters or the decision of an employer to dismiss an employee summarily under subsection (3) shall not preclude an employer or an employee from respectively alleging or disputing whether the facts giving rise to the same, or whether any other matters not mentioned in this section, constitute justifiable or lawful grounds for the dismissal if:— (a) without leave or other lawful cause, an employee absents himself from the place appointed for the performance of his work; (b) during working hou",0.7072,2.9663679599761963,1008.92,1442.85,989.7,4715.61,Qwen2.5-7B-Instruct,hf-router
fb6e9bb1,How can someone be dismissed lawfully?,Employment Act,44 – Summary dismissal,"such matters or the decision of an employer to dismiss an employee summarily under subsection (3) shall not preclude an employer or an employee from respectively alleging or disputing whether the facts giving rise to the same, or whether any other matters not mentioned in this section, constitute justifiable or lawful grounds for the dismissal if:— (a) without leave or other lawful cause, an employee absents himself from the place appointed for the performance of his work; (b) during working hou",0.7072,2.9663679599761963,132.57,1322.61,633.12,2977.54,Qwen2.5-7B-Instruct,hf-router
246e67f7,What happens when a tenant refuses to vacate despite eviction notice?,Distress for Rent Act,14 – Tenant holding premises after time notified to pay double rent,"If a tenant gives notice to his landlord of his intention to quit the premises held by him, at a time mentioned in the notice, and does not accordingly deliver up the possession thereof at the time specified in the notice, then the tenant or his executors or administrators shall from thenceforward pay to the landlord double the rent or sum which he should otherwise have paid, to be levied, sued for and recovered at the same times, and in the same manner, as the single rent or sum could be levied",0.703,-2.112579822540283,1053.7,1542.19,1090.86,3689.18,retrieval-only
9698fafd,what is PAYE,Value Added Tax Act,19 – When tax is due - When tax is due,"(1) Tax shall be due and payable at the time of supply. (2) Notwithstanding the provision of subsection (1), a person may defer payment of tax due to a date not later than the twentieth day of the month succeeding that in which the tax became due. (Act No. 8 of 2021, s. 26)",,,,,,27223.85,proxy
4c50dbbd,What happens when a tenant refuses to vacate despite eviction notice?,Distress for Rent Act,14 – Tenant holding premises after time notified to pay double rent - Tenant holding premises after time notified to pay double rent,"If a tenant gives notice to his landlord of his intention to quit the premises held by him, at a time mentioned in the notice, and does not accordingly deliver up the possession thereof at the time specified in the notice, then the tenant or his executors or administrators shall from thenceforward pay to the landlord double the rent or sum which he should otherwise have paid, to be levied, sued for and recovered at the same times, and in the same manner, as the single rent or sum could be levied",,,,,,35132.74,proxy
3f910cf4,How can someone be dismissed lawfully?,Constitution of Kenya,75 – Conduct of State officers - Conduct of State officers,"(1) A State officer shall behave, whether in public and official life, in private life, or in association with other persons, in a manner that avoids— (a) any conflict between personal interests and public or official duties; (b) compromising any public or official interest in favour of a personal interest; or (c) demeaning the office the officer holds. (2) A person who contravenes clause (1), or Article 76, 77 or 78(2)— (a) shall be subject to the applicable disciplinary procedure for the relev",,,,,,59048.72,proxy
